date,close
2018-01-02,236.56214904785156
2018-01-03,238.0584716796875
2018-01-04,239.0618438720703
2018-01-05,240.6549835205078
2018-01-08,241.0950469970703
2018-01-09,241.64071655273438
2018-01-10,241.27105712890625
2018-01-11,243.0314178466797
2018-01-12,244.61570739746094
2018-01-16,243.77947998046875
2018-01-17,246.10316467285156
2018-01-18,245.68948364257812
2018-01-19,246.80735778808594
2018-01-22,248.81414794921875
2018-01-23,249.3422393798828
2018-01-24,249.24539184570312
2018-01-25,249.3509979248047
2018-01-26,252.2378692626953
2018-01-29,250.5655975341797
2018-01-30,247.9955291748047
2018-01-31,248.11866760253906
2018-02-01,247.83705139160156
2018-02-02,242.44166564941406
2018-02-05,232.30215454101562
2018-02-06,236.87904357910156
2018-02-07,235.59397888183594
2018-02-08,226.75711059570312
2018-02-09,230.16334533691406
2018-02-12,233.54319763183594
2018-02-13,234.1241912841797
2018-02-14,237.28392028808594
2018-02-15,240.31175231933594
2018-02-16,240.38206481933594
2018-02-20,238.8769073486328
2018-02-21,237.68875122070312
2018-02-22,237.99681091308594
2018-02-23,241.7903594970703
2018-02-26,244.59811401367188
2018-02-27,241.54391479492188
2018-02-28,239.0970916748047
2018-03-01,235.620361328125
2018-03-02,236.8350067138672
2018-03-05,239.57237243652344
2018-03-06,240.17965698242188
2018-03-07,240.09164428710938
2018-03-08,241.25343322753906
2018-03-09,245.451904296875
2018-03-12,245.14378356933594
2018-03-13,243.5595245361328
2018-03-14,242.30960083007812
2018-03-15,242.0455780029297
2018-03-16,242.3079833984375
2018-03-19,239.02960205078125
2018-03-20,239.43606567382812
2018-03-21,238.97657775878906
2018-03-22,233.00279235839844
2018-03-23,228.03646850585938
2018-03-26,234.2752685546875
2018-03-27,230.28988647460938
2018-03-28,229.60939025878906
2018-03-29,232.54324340820312
2018-04-02,227.52391052246094
2018-04-03,230.4401092529297
2018-04-04,232.9055633544922
2018-04-05,234.74366760253906
2018-04-06,229.51214599609375
2018-04-09,230.6433563232422
2018-04-10,234.31060791015625
2018-04-11,233.08236694335938
2018-04-12,234.99990844726562
2018-04-13,234.31060791015625
2018-04-16,236.23707580566406
