date,close
2018-01-02,236.5621490478516
2018-01-03,238.05845642089844
2018-01-04,239.06182861328125
2018-01-05,240.6549835205078
2018-01-08,241.0950164794922
2018-01-09,241.64073181152344
2018-01-10,241.27105712890625
2018-01-11,243.0314178466797
2018-01-12,244.61572265625
2018-01-16,243.77957153320312
2018-01-17,246.1031646728516
2018-01-18,245.6894378662109
2018-01-19,246.8072967529297
2018-01-22,248.81411743164065
2018-01-23,249.34217834472656
2018-01-24,249.24539184570312
2018-01-25,249.35096740722656
2018-01-26,252.2379608154297
2018-01-29,250.565658569336
2018-01-30,247.99545288085932
2018-01-31,248.1188201904297
2018-02-01,247.8370819091797
2018-02-02,242.44161987304688
2018-02-05,232.3021697998047
2018-02-06,236.8790283203125
2018-02-07,235.593994140625
2018-02-08,226.75717163085932
2018-02-09,230.16336059570312
2018-02-12,233.54315185546875
2018-02-13,234.1241607666016
2018-02-14,237.2838897705078
2018-02-15,240.31167602539065
2018-02-16,240.38201904296875
2018-02-20,238.8770446777344
2018-02-21,237.68878173828125
2018-02-22,237.996826171875
2018-02-23,241.790283203125
2018-02-26,244.59811401367188
2018-02-27,241.5438995361328
2018-02-28,239.0970764160156
2018-03-01,235.62042236328125
2018-03-02,236.83502197265625
2018-03-05,239.5723114013672
2018-03-06,240.1796875
2018-03-07,240.0916748046875
2018-03-08,241.25347900390625
2018-03-09,245.45187377929688
2018-03-12,245.14370727539065
2018-03-13,243.5595550537109
2018-03-14,242.3096466064453
2018-03-15,242.04556274414065
2018-03-16,242.30807495117188
2018-03-19,239.02957153320312
2018-03-20,239.4359741210937
2018-03-21,238.9765167236328
2018-03-22,233.00277709960932
2018-03-23,228.03643798828125
2018-03-26,234.27528381347656
2018-03-27,230.28988647460932
2018-03-28,229.60940551757807
2018-03-29,232.54324340820312
2018-04-02,227.52394104003903
2018-04-03,230.44009399414065
2018-04-04,232.90560913085932
2018-04-05,234.74365234375
2018-04-06,229.5121917724609
2018-04-09,230.64334106445312
2018-04-10,234.3106231689453
2018-04-11,233.08236694335932
2018-04-12,234.9999847412109
2018-04-13,234.3106231689453
2018-04-16,236.2370758056641
2018-04-17,238.76449584960932
2018-04-18,238.94126892089844
2018-04-19,237.61572265625
2018-04-20,235.600830078125
2018-04-23,235.5655059814453
2018-04-24,232.3930511474609
2018-04-25,232.96746826171875
2018-04-26,235.33572387695312
2018-04-27,235.55665588378903
2018-04-30,233.74514770507807
2018-05-01,234.1604766845703
2018-05-02,232.58746337890625
2018-05-03,232.0749053955078
2018-05-04,235.0794982910156
